# MEAN_SAMPLE_SIZE = 250250
# TOTAL_GENES = 17033
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
COVAR                                      OBS_GENES       BETA   BETA_STD         SE            P
Adipose...Subcutaneous                         17033    0.00107    0.00122    0.00997      0.45727
Adipose...Visceral..Omentum.                   17033    -0.0154    -0.0174       0.01      0.93794
Adrenal.Gland                                  17033     0.0137     0.0153     0.0102      0.09036
Artery...Aorta                                 17033       0.03     0.0337     0.0101    0.0015247
Artery...Coronary                              17033     0.0174     0.0196     0.0101     0.042405
Artery...Tibial                                17033     0.0363     0.0406     0.0102   0.00018813
Bladder                                        17033     0.0156     0.0181    0.00984     0.056545
Brain...Amygdala                               17033      0.101      0.115       0.01   8.0045e-24
Brain...Anterior.cingulate.cortex..BA24.       17033      0.107      0.122       0.01   9.0284e-27
Brain...Caudate..basal.ganglia.                17033      0.087     0.0991       0.01    2.515e-18
Brain...Cerebellar.Hemisphere                  17033      0.103      0.115     0.0103   1.0241e-23
Brain...Cerebellum                             17033      0.102      0.114     0.0103   1.6162e-23
Brain...Cortex                                 17033       0.11      0.126       0.01   2.1608e-28
Brain...Frontal.Cortex..BA9.                   17033      0.111      0.127       0.01   8.5075e-29
Brain...Hippocampus                            17033     0.0931      0.107    0.00997     5.43e-21
Brain...Hypothalamus                           17033     0.0903      0.104    0.00998   8.0003e-20
Brain...Nucleus.accumbens..basal.ganglia.      17033     0.0948      0.108       0.01   1.9031e-21
Brain...Putamen..basal.ganglia.                17033     0.0867     0.0986     0.0101   3.6561e-18
Brain...Spinal.cord..cervical.c.1.             17033       0.06     0.0684    0.00998   9.5297e-10
Brain...Substantia.nigra                       17033     0.0737     0.0841       0.01   8.7795e-14
Breast...Mammary.Tissue                        17033   -0.00649   -0.00739    0.00998      0.74236
Cells...EBV.transformed.lymphocytes            17033     0.0111     0.0123     0.0104      0.14314
Cells...Transformed.fibroblasts                17033     0.0102     0.0114     0.0102      0.15779
Cervix...Ectocervix                            17033    0.00793    0.00917    0.00986      0.21065
Cervix...Endocervix                            17033    0.00921     0.0105    0.00996      0.17776
Colon...Sigmoid                                17033     0.0365     0.0413     0.0101   0.00015047
Colon...Transverse                             17033     0.0124     0.0142    0.00986      0.10516
Esophagus...Gastroesophageal.Junction          17033     0.0288     0.0325     0.0101    0.0021885
Esophagus...Mucosa                             17033   -0.00528   -0.00598     0.0101      0.69943
Esophagus...Muscularis                         17033     0.0253     0.0287     0.0101    0.0060607
Fallopian.Tube                                 17033     0.0133     0.0151       0.01     0.092499
Heart...Atrial.Appendage                       17033    0.00833    0.00945       0.01      0.20287
Heart...Left.Ventricle                         17033    0.00927     0.0104     0.0101      0.18017
Kidney...Cortex                                17033   -0.00747   -0.00852    0.00996      0.77349
Liver                                          17033     0.0021    0.00236     0.0102       0.4181
Lung                                           17033     -0.015    -0.0171       0.01      0.93303
Minor.Salivary.Gland                           17033   -0.00224   -0.00255    0.00998      0.58862
Muscle...Skeletal                              17033     0.0284     0.0319     0.0102    0.0025991
Nerve...Tibial                                 17033     0.0323     0.0367    0.00999   0.00061982
Ovary                                          17033     0.0331     0.0377     0.0101     0.000523
Pancreas                                       17033     0.0113     0.0128       0.01      0.12965
Pituitary                                      17033     0.0567     0.0639     0.0102   1.3096e-08
Prostate                                       17033    0.00861    0.00986       0.01      0.19551
Skin...Not.Sun.Exposed..Suprapubic.            17033    0.00483    0.00556    0.00992      0.31319
Skin...Sun.Exposed..Lower.leg.                 17033    0.00213    0.00244    0.00997      0.41544
Small.Intestine...Terminal.Ileum               17033    0.00155    0.00179    0.00989      0.43756
Spleen                                         17033   -0.00828    -0.0093     0.0102      0.79116
Stomach                                        17033    0.00648    0.00739       0.01      0.25836
Testis                                         17033   -0.00849    -0.0107    0.00918      0.82249
Thyroid                                        17033     0.0017    0.00193     0.0101      0.43297
Uterus                                         17033     0.0302     0.0342     0.0101    0.0014111
Vagina                                         17033   -0.00344   -0.00393    0.00998      0.63489
Whole.Blood                                    17033    0.00644    0.00705     0.0105      0.27049
