# MEAN_SAMPLE_SIZE = 250572
# TOTAL_GENES = 13876
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
ASC1                           13876    0.00572    0.00665      0.011      0.30095
ASC2                           13876   -0.00129   -0.00148     0.0111       0.5464
END                            13876    -0.0238    -0.0272     0.0112      0.98333
exCA1                          13876     0.0558     0.0653     0.0109   1.3979e-07
exCA3                          13876      0.084     0.0965     0.0111   2.3402e-14
exDG                           13876     0.0675     0.0781      0.011   4.2176e-10
exPFC1                         13876     0.0672     0.0786     0.0108   2.4919e-10
exPFC2                         13876     0.0547     0.0639     0.0108   2.1538e-07
GABA1                          13876     0.0533     0.0619     0.0109   5.6469e-07
GABA2                          13876     0.0706      0.082     0.0109   5.9145e-11
MG                             13876   -0.00833   -0.00942     0.0113      0.76953
NSC                            13876    -0.0187    -0.0213     0.0112      0.95261
ODC1                           13876    0.00507    0.00585     0.0111      0.32332
OPC                            13876     0.0166     0.0191     0.0111      0.06644
OPC2                           13876    0.00922     0.0106     0.0111      0.20256
