# MEAN_SAMPLE_SIZE = 250665
# TOTAL_GENES = 15721
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
CB_1.1                         15721     0.0481     0.0531     0.0109   4.7803e-06
CB_2.1                         15721      0.046     0.0492     0.0111   1.8059e-05
CB_3.1                         15721     0.0851     0.0905     0.0112   1.4493e-14
CB_3.2                         15721     0.0769     0.0815     0.0112    4.293e-12
CB_4.2                         15721     0.0753     0.0797     0.0112   8.8307e-12
CB_6.1                         15721     0.0311     0.0326     0.0113     0.003032
CB_7.1                         15721     0.0155     0.0168      0.011     0.079099
ENT_1.1                        15721     0.0268     0.0292     0.0109     0.007165
ENT_1.2                        15721     0.0279     0.0303      0.011    0.0055343
ENT_1.3                        15721     0.0412     0.0443     0.0111   0.00010072
ENT_1.4                        15721     0.0319     0.0344     0.0111    0.0020171
ENT_1.5                        15721     0.0411     0.0432     0.0114   0.00015069
ENT_2.1                        15721   -0.00156   -0.00168      0.011      0.55609
ENT_2.2                        15721    0.00402    0.00424     0.0113      0.36088
ENT_2.3                        15721    0.00364    0.00384     0.0113      0.37343
ENT_2.4                        15721    -0.0159     -0.017     0.0111      0.92309
ENT_4.2                        15721     0.0687     0.0741      0.011   2.4319e-10
ENT_4.4                        15721     0.0692     0.0771     0.0107   4.9243e-11
ENT_4.6                        15721      0.088     0.0975     0.0107   1.3879e-16
ENT_4.7                        15721     0.0779     0.0865     0.0107   2.0887e-13
ENT_5.1                        15721     0.0396     0.0415     0.0114   0.00024293
ENT_5.2                        15721     0.0432     0.0452     0.0114   7.6964e-05
ENT_5.3                        15721     0.0537     0.0553     0.0116   1.7358e-06
ENT_7.2                        15721     0.0353     0.0376     0.0111    0.0007471
FC_1.1                         15721     0.0921        0.1      0.011   2.7061e-17
FC_1.10                        15721     0.0882     0.0949     0.0111   8.1365e-16
FC_1.11                        15721     0.0835       0.09     0.0111    2.372e-14
FC_1.2                         15721     0.0944      0.103      0.011   4.4497e-18
FC_1.4                         15721     0.0824     0.0893      0.011   3.2583e-14
FC_1.5                         15721      0.081     0.0887     0.0109    6.253e-14
FC_1.6                         15721      0.079     0.0872     0.0108   1.3285e-13
FC_1.7                         15721     0.0974      0.103     0.0113   2.8022e-18
FC_1.9                         15721      0.101      0.109     0.0111   6.2491e-20
FC_10.1                        15721     0.0341     0.0376     0.0107   0.00073829
FC_10.3                        15721     0.0406     0.0435     0.0111   0.00012731
FC_10.4                        15721       0.04     0.0414     0.0115   0.00025539
FC_10.5                        15721     0.0221     0.0237     0.0111     0.023142
FC_10.6                        15721     0.0343     0.0368     0.0111   0.00097559
FC_11.1                        15721     0.0291     0.0324     0.0107    0.0031248
FC_12.1                        15721    -0.0103    -0.0115     0.0106      0.83399
FC_12.2                        15721   -0.00977    -0.0104     0.0111       0.8103
FC_12.3                        15721    0.00208     0.0023     0.0107      0.42338
FC_12.4                        15721    0.00115    0.00127     0.0108      0.45737
FC_13.1                        15721   -0.00779   -0.00851     0.0109      0.76349
FC_13.2                        15721   0.000841    0.00092     0.0108       0.4691
FC_14.1                        15721     0.0034    0.00365      0.011      0.37885
FC_2.1                         15721     0.0619     0.0659     0.0112   1.7181e-08
FC_2.10                        15721     0.0849     0.0919      0.011   6.2189e-15
FC_2.2                         15721     0.0897     0.0985     0.0109   8.1857e-17
FC_2.3                         15721     0.0782     0.0846     0.0111   8.1398e-13
FC_2.4                         15721     0.0903     0.0986     0.0109   7.2614e-17
FC_2.5                         15721     0.0817     0.0885      0.011   6.8292e-14
FC_2.6                         15721     0.0873     0.0922     0.0112   4.5713e-15
FC_2.7                         15721      0.095      0.103      0.011   3.1666e-18
FC_2.8                         15721     0.0898     0.0981     0.0109     1.04e-16
FC_2.9                         15721     0.0952      0.104     0.0109   1.2603e-18
FC_3.1                         15721      0.097      0.109     0.0105   1.9891e-20
FC_3.10                        15721     0.0868     0.0956     0.0108   4.8582e-16
FC_3.11                        15721     0.0874     0.0934     0.0111   1.9195e-15
FC_3.12                        15721     0.0982      0.108     0.0108   3.9859e-20
FC_3.13                        15721     0.0945      0.103     0.0109   1.8323e-18
FC_3.2                         15721     0.0935      0.101      0.011   1.1963e-17
FC_3.3                         15721     0.0938      0.106     0.0105   2.6848e-19
FC_3.4                         15721      0.102      0.114     0.0106   5.9826e-22
FC_3.5                         15721      0.109       0.12     0.0108   3.9182e-24
FC_3.6                         15721      0.107      0.115     0.0111   2.0835e-22
FC_3.7                         15721     0.0877     0.0985     0.0106   5.4225e-17
FC_3.8                         15721     0.0772     0.0857     0.0107   2.7587e-13
FC_3.9                         15721     0.0955      0.106     0.0107   3.0815e-19
FC_4.1                         15721     0.0725      0.081     0.0107   5.4774e-12
FC_4.2                         15721      0.106      0.114     0.0111   4.2259e-22
FC_5.1                         15721      0.112      0.124     0.0106   6.1752e-26
FC_6.1                         15721      0.088      0.103     0.0101    1.435e-18
FC_6.2                         15721      0.103      0.112     0.0109    2.285e-21
FC_6.3                         15721     0.0877      0.103     0.0101   2.4006e-18
FC_6.4                         15721     0.0874      0.103       0.01   1.9133e-18
FC_6.5                         15721      0.102      0.113     0.0107   1.0369e-21
FC_7.1                         15721      0.108      0.118     0.0109   2.3255e-23
