# MEAN_SAMPLE_SIZE = 250014
# TOTAL_GENES = 18812
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
SET                        NGENES       BETA   BETA_STD         SE            P FULL_NAME
Astrocytes                   1554      0.062     0.0171     0.0327      0.02896 Astrocytes
Cerebellum.neurons           1555      0.141     0.0388     0.0315   4.0558e-06 Cerebellum.neurons
Cholinergic.and.monoam...    1552      0.153     0.0421      0.032   8.7281e-07 Cholinergic.and.monoaminergic.neurons
Choroid.epithelial.cells     1554    0.00101   0.000278     0.0313      0.48712 Choroid.epithelial.cells
Dentate.gyrus.granule....    1557      0.164     0.0452      0.032   1.5129e-07 Dentate.gyrus.granule.neurons
Dentate.gyrus.radial.g...    1557    0.00715    0.00197     0.0314      0.40983 Dentate.gyrus.radial.glia.like.cells
Di..and.mesencephalon....    1556      0.187     0.0514     0.0324   4.1234e-09 Di..and.mesencephalon.excitatory.neurons
Di..and.mesencephalon....    1551      0.173     0.0475     0.0326   6.0709e-08 Di..and.mesencephalon.inhibitory.neurons
Enteric.glia                 1557    -0.0429    -0.0118     0.0313      0.91446 Enteric.glia
Enteric.neurons              1556     0.0752     0.0207     0.0323    0.0098621 Enteric.neurons
Ependymal.cells              1554    -0.0405    -0.0112     0.0319      0.89828 Ependymal.cells
Glutamatergic.neuroblasts    1555      0.116      0.032     0.0323   0.00015656 Glutamatergic.neuroblasts
Hindbrain.neurons            1552      0.147     0.0403      0.032   2.3221e-06 Hindbrain.neurons
Microglia                    1547    -0.0329   -0.00904     0.0312      0.85434 Microglia
Non.glutamatergic.neur...    1556     0.0728     0.0201     0.0317     0.010926 Non.glutamatergic.neuroblasts
Olfactory.ensheathing....    1556   -0.00632   -0.00174     0.0322      0.57781 Olfactory.ensheathing.cells
Olfactory.inhibitory.n...    1555      0.154     0.0424     0.0322   8.7466e-07 Olfactory.inhibitory.neurons
Oligodendrocyte.precur...    1559     0.0198    0.00546     0.0315      0.26444 Oligodendrocyte.precursor.cells
Oligodendrocytes             1556     0.0904     0.0249     0.0317    0.0021483 Oligodendrocytes
Peptidergic.neurons          1553     0.0787     0.0217     0.0318    0.0067154 Peptidergic.neurons
Pericytes                    1556    -0.0467    -0.0129     0.0317      0.92938 Pericytes
Peripheral.sensory.neu...    1555     0.0635     0.0175      0.032     0.023509 Peripheral.sensory.neurofilament.neurons
Peripheral.sensory.non...    1558     0.0545      0.015     0.0313     0.040736 Peripheral.sensory.non.peptidergic.neurons
Peripheral.sensory.pep...    1558     0.0623     0.0172     0.0313     0.023362 Peripheral.sensory.peptidergic.neurons
Perivascular.macrophages     1544   -0.00693    -0.0019     0.0307      0.58913 Perivascular.macrophages
Satellite.glia               1558    -0.0593    -0.0163     0.0315      0.97003 Satellite.glia
Schwann.cells                1556    -0.0104   -0.00287     0.0314      0.63001 Schwann.cells
Spinal.cord.excitatory...    1555     0.0557     0.0153     0.0318     0.039934 Spinal.cord.excitatory.neurons
Spinal.cord.inhibitory...    1555      0.107     0.0295     0.0318   0.00038266 Spinal.cord.inhibitory.neurons
Subcommissural.organ.h...    1557    -0.0181     -0.005     0.0319      0.71533 Subcommissural.organ.hypendymal.cells
Subventricular.zone.ra...    1556     0.0525     0.0145     0.0315     0.047735 Subventricular.zone.radial.glia.like.cells
Sympathetic.cholinergi...    1555    -0.0156   -0.00429     0.0315      0.68927 Sympathetic.cholinergic.neurons
Sympathetic.noradrener...    1554    -0.0485    -0.0134     0.0311      0.94074 Sympathetic.noradrenergic.neurons
Telencephalon.inhibito...    1551      0.169     0.0464     0.0321   7.1652e-08 Telencephalon.inhibitory.interneurons
Telencephalon.projecti...    1557      0.249     0.0687     0.0326   1.0767e-14 Telencephalon.projecting.excitatory.neurons
Telencephalon.projecti...    1557      0.199     0.0548     0.0321   3.1129e-10 Telencephalon.projecting.inhibitory.neurons
Vascular.and.leptomeni...    1557    -0.0865    -0.0238     0.0319       0.9967 Vascular.and.leptomeningeal.cells
Vascular.endothelial.c...    1555    -0.0541    -0.0149     0.0315      0.95729 Vascular.endothelial.cells
Vascular.smooth.muscle...    1556     -0.112    -0.0309     0.0319      0.99978 Vascular.smooth.muscle.cells
