# MEAN_SAMPLE_SIZE = 250634
# TOTAL_GENES = 15528
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
ABC                            15528   -0.00472    -0.0052     0.0108       0.6688
ACBG                           15528     0.0423     0.0465     0.0109   4.8437e-05
ACMB                           15528     0.0301     0.0336     0.0106    0.0023372
ACNT1                          15528     0.0317      0.036     0.0105    0.0012602
ACNT2                          15528     0.0343     0.0388     0.0105   0.00056314
ACOB                           15528     0.0349     0.0392     0.0106   0.00049202
ACTE1                          15528     0.0352     0.0397     0.0106   0.00043569
ACTE2                          15528     0.0401     0.0454     0.0105   6.9381e-05
CBGRC                          15528     0.0781     0.0857      0.011   5.8111e-13
CBINH1                         15528     0.0876      0.096     0.0109   5.1629e-16
CBNBL1                         15528     0.0746       0.08     0.0112   1.2822e-11
CBNBL2                         15528     0.0715     0.0759     0.0113   1.2106e-10
CBPC                           15528      0.048     0.0504     0.0114   1.3031e-05
CHOR                           15528    0.00345    0.00382     0.0108      0.37474
COP1                           15528     0.0317     0.0352     0.0108    0.0016867
COP2                           15528     0.0622     0.0663     0.0112   1.6342e-08
CR                             15528     0.0494     0.0543      0.011   3.2907e-06
DECHO1                         15528     0.0613     0.0691     0.0106   3.7437e-09
DECHO2                         15528     0.0596     0.0651      0.011   3.3243e-08
DEGLU1                         15528     0.0758     0.0854     0.0106   4.8523e-13
DEGLU2                         15528     0.0607     0.0675     0.0107   6.9102e-09
DEGLU3                         15528      0.065     0.0746     0.0104   2.0835e-10
DEGLU4                         15528     0.0746     0.0812      0.011   5.6833e-12
DEGLU5                         15528     0.0846     0.0954     0.0106   8.4717e-16
DEINH1                         15528     0.0657      0.073     0.0108    5.887e-10
DEINH2                         15528     0.0745     0.0819     0.0109   4.0933e-12
DEINH3                         15528     0.0858     0.0964     0.0107   4.6153e-16
DEINH4                         15528     0.0722     0.0781     0.0111   3.6902e-11
DEINH5                         15528      0.065     0.0728     0.0107   6.7512e-10
DEINH7                         15528     0.0299     0.0322     0.0112    0.0037456
DEINH8                         15528     0.0316     0.0341     0.0112     0.002328
DGGRC1                         15528     0.0807     0.0904     0.0107   1.9372e-14
DGGRC2                         15528     0.0823     0.0931     0.0105   3.2225e-15
DGNBL1                         15528     0.0483     0.0519     0.0112   8.6462e-06
DGNBL2                         15528     0.0569     0.0637     0.0107   5.6475e-08
ENMFB                          15528   -0.00843   -0.00911      0.011      0.77787
ENT2                           15528      0.027     0.0298     0.0108    0.0062389
ENT3                           15528      0.021     0.0231     0.0108     0.026157
ENT4                           15528     0.0268       0.03     0.0106    0.0057612
ENT5                           15528     0.0386     0.0426     0.0108   0.00018546
ENT6                           15528     0.0439     0.0487     0.0108   2.3174e-05
ENT7                           15528     0.0307     0.0335      0.011    0.0025054
ENT8                           15528     0.0511      0.056     0.0109   1.5047e-06
ENT9                           15528     0.0495     0.0548     0.0108   2.4673e-06
ENTG1                          15528    0.00689    0.00755     0.0109      0.26408
ENTG2                          15528  -0.000926   -0.00104     0.0106      0.53478
ENTG3                          15528   -0.00832   -0.00923     0.0108      0.77986
ENTG4                          15528  -0.000433   -0.00049     0.0106      0.51634
ENTG5                          15528    0.00277    0.00306     0.0108      0.39858
ENTG6                          15528   -0.00872   -0.00965     0.0108      0.79047
ENTG7                          15528   -0.00102   -0.00113     0.0107      0.53771
EPEN                           15528    0.00593    0.00675     0.0104      0.28507
EPSC                           15528   -0.00182   -0.00204     0.0106      0.56806
HBADR                          15528     0.0646     0.0707      0.011   1.9374e-09
HBCHO2                         15528     0.0675     0.0731     0.0111   5.7911e-10
HBCHO3                         15528     0.0567     0.0634     0.0108   7.0522e-08
HBCHO4                         15528      0.069     0.0759     0.0109    1.403e-10
HBGLU1                         15528     0.0817     0.0888      0.011   7.2474e-14
HBGLU2                         15528     0.0873     0.0983     0.0107   1.6358e-16
HBGLU3                         15528     0.0915      0.101      0.011   4.5221e-17
HBGLU5                         15528      0.058     0.0647     0.0107     3.04e-08
HBGLU6                         15528     0.0772     0.0869     0.0106   1.7004e-13
HBGLU7                         15528     0.0745     0.0842     0.0105   8.5722e-13
HBGLU9                         15528     0.0777     0.0857     0.0109    4.751e-13
HBINH2                         15528     0.0748     0.0813      0.011   5.1004e-12
HBINH3                         15528     0.0807     0.0889     0.0109   6.5641e-14
HBINH4                         15528     0.0809     0.0877     0.0111   1.5169e-13
HBINH5                         15528     0.0838     0.0951     0.0106   1.4286e-15
HBINH6                         15528     0.0705     0.0777     0.0109   4.3988e-11
HBINH9                         15528     0.0766     0.0843     0.0109   1.2197e-12
HBSER1                         15528     0.0605     0.0672     0.0108   1.0192e-08
HBSER2                         15528     0.0823     0.0908     0.0109   2.3864e-14
HBSER3                         15528       0.06     0.0663     0.0109   1.7892e-08
HBSER4                         15528     0.0589     0.0657     0.0108   2.2544e-08
HBSER5                         15528     0.0677     0.0746     0.0109   2.7938e-10
