Lvl1	Lvl2	Lvl3	Lvl4	Lvl5	Description
Neurons	PNS neurons	Enteric neurons	Enteric neurons	ENT9	Cholinergic enteric neurons
Neurons	PNS neurons	Enteric neurons	Enteric neurons	ENT8	Cholinergic enteric neurons, VGLUT2
Neurons	PNS neurons	Enteric neurons	Enteric neurons	ENT6	Cholinergic enteric neurons
Neurons	PNS neurons	Enteric neurons	Enteric neurons	ENT5	Cholinergic enteric neurons
Neurons	PNS neurons	Enteric neurons	Enteric neurons	ENT4	Cholinergic enteric neurons
Neurons	PNS neurons	Enteric neurons	Enteric neurons	ENT7	Cholinergic enteric neurons, VGLUT2
Neurons	PNS neurons	Enteric neurons	Enteric neurons	ENT3	Nitrergic enteric neurons
Neurons	PNS neurons	Enteric neurons	Enteric neurons	ENT2	Nitrergic enteric neurons
Neurons	PNS neurons	Enteric neurons	Enteric neurons	ENT1	Nitrergic enteric neurons
Glia	Neural crest-like glia	Neural crest-like glia	Enteric glia	ENTG1	Enteric glia, proliferating
Glia	Neural crest-like glia	Neural crest-like glia	Enteric glia	ENTG4	Enteric glia
Glia	Neural crest-like glia	Neural crest-like glia	Enteric glia	ENTG2	Enteric glia
Glia	Neural crest-like glia	Neural crest-like glia	Enteric glia	ENTG3	Enteric glia
Glia	Neural crest-like glia	Neural crest-like glia	Enteric glia	ENTG6	Enteric glia
Glia	Neural crest-like glia	Neural crest-like glia	Enteric glia	ENTG5	Enteric glia
Glia	Neural crest-like glia	Neural crest-like glia	Enteric glia	ENTG7	Enteric glia
Glia	Neural crest-like glia	Neural crest-like glia	Enteric glia	ENMFB	Enteric mesothelial fibroblasts
Glia	CNS glia	Oligodendrocytes	Oligodendrocytes	MOL3	Mature oligodendrocytes, spinal cord enriched (high Klk6)
Glia	CNS glia	Oligodendrocytes	Oligodendrocytes	MOL2	Mature oligodendrocytes, hindbrain
Glia	CNS glia	Oligodendrocytes	Oligodendrocytes	MFOL1	Myelin forming oligodendrocytes (MFOL)
Glia	CNS glia	Oligodendrocytes	Oligodendrocytes	MOL1	Mature oligodendrocytes
Glia	CNS glia	Oligodendrocytes	Oligodendrocytes	MFOL2	Myelin forming oligodendrocytes (MFOL)
Glia	CNS glia	Oligodendrocytes	Oligodendrocytes	NFOL1	Newly formed oligodendrocytes (NFOL)
