# ALPHA = 0.05
# TOT_SETS = 39


# _SET1_ SET = Cerebellum.neurons
# _SET1_ NGENES = 1555
# _SET1_ P = 4.05584e-06
_SET1_     GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_     84069         1     866872     920488    144      25  235380      0.92076      0.17859
_SET1_     83756         1    1231726    1279844    110      14  240798      0.09522      0.46207
_SET1_     339453        1    1460158    1510740    119      14  232894     -0.17865      0.57089
_SET1_     728661        1    1581486    1659243     42       8  199810       2.7924    0.0026158
_SET1_     2563          1    1915768    1972192    103      16  229289       1.4564     0.072636
_SET1_     5192          1    2326241    2379010    155      40  244298    -0.070688      0.52818
_SET1_     9651          1    2372754    2446964    207      32  248975      0.61857       0.2681
_SET1_     7161          1    3534129    3662765    361      58  248226     -0.70979      0.76108
_SET1_     55966         1    4680105    4853851    790      92  253788       2.7879    0.0026524
_SET1_     390992        1    6269252    6315638     91      14  249365     -0.31095      0.62208
_SET1_     23463         1    6271253    6331044    122      16  241984     -0.40858      0.65858
_SET1_     3104          1    6605051    6659340    129      15  251437       1.7289     0.041914
_SET1_     10911         1    7897672    7948551    216      29  260533      0.47866      0.31609
_SET1_     50651         1    8343171    8414227    177      24  247404       1.9137      0.02783
_SET1_     199953        1    9613932    9684935     81       8  251635      0.18544      0.42644
_SET1_     22883         1    9779079    9919550    190      21  248767     -0.50908      0.69465
_SET1_     1676          1   10510588   10567613    118      13  253017      0.51765      0.30235
_SET1_     57540         1   11504295   11607640    275      17  259631       2.0476     0.020302
_SET1_     374946        1   11716781   11790336    185      39  235318     0.058329      0.47674
_SET1_     126755        1   13791445   13875242    332      48  246347      0.43218      0.33281
_SET1_     23341         1   15818343   15908228    242      14  261561       1.2512      0.10544
_SET1_     23207         1   15975632   16071264    230      16  258020     -0.61251       0.7299
_SET1_     23013         1   16139359   16276951    274      20  258676       1.8142     0.034823
_SET1_     348487        1   16374264   16435127    255      20  253789       1.1585      0.12333
_SET1_     23569         1   17599690   17700495    473      36  259688       0.6361      0.26236
_SET1_     126917        1   19220774   19317826    315      33  254575      -1.1825      0.88149
_SET1_     79594         1   20815941   20869674    138      17  260047        3.981    3.431e-05
_SET1_     1650          1   20968260   21023037    167      31  244480      0.97756      0.16415
_SET1_     54361         1   22433798   22505474    249      44  256528       5.3883    3.556e-08
_SET1_     9923          1   22743344   22867650    194      23  255006      0.85373      0.19663
_SET1_     2046          1   22855004   22940087    244      44  248825       1.6172     0.052923
_SET1_     2048          1   23002263   23251823    511      60  231045       1.6665     0.047809
_SET1_     26119         1   25835071   25905377    122      17  242002       1.0589      0.14483
_SET1_     55057         1   26638350   26715621    253      23  262072       1.2652       0.1029
_SET1_     6195          1   26821249   26911520    186      23  254238       2.7745    0.0027641
_SET1_     2810          1   27154633   27200947     60       7  260621        3.526   0.00021094
_SET1_     8431          1   27227975   27275567     66       9  259826       3.3203   0.00044952
_SET1_     2827          1   27684148   27732318     79      19  227843    -0.076031       0.5303
_SET1_     388611        1   27695596   27744823     68      12  225982    0.0037278      0.49851
_SET1_     2035          1   29178603   29456558    541      29  257162       4.9122   4.5032e-07
_SET1_     79570         1   31642592   31747734    295      16  257574        1.736     0.041285
_SET1_     2170          1   31828100   31880923    160      12  256640       1.9057     0.028346
_SET1_     347735        1   31847412   31917527    240      20  253803       1.4982     0.067037
_SET1_     79140         1   32631202   32680991     58       8  249549       2.5124    0.0059948
_SET1_     728116        1   32895658   32963460     88       7  257104     -0.59061      0.72261
_SET1_     252995        1   33317869   33373093     61      14  255455       1.3576     0.087302
_SET1_     127544        1   33392050   33465467    116      14  258025        1.684     0.046092
_SET1_     55223         1   33601000   33682671    140       8  258331     -0.12265      0.54881
_SET1_     79932         1   35889091   36058037    218      21  224878     -0.78549      0.78392
_SET1_     2899          1   37251128   37534844    554      53  248304       1.4613     0.071964
_SET1_     284656        1   38171646   38265824    292      27  256361      0.79421      0.21354
_SET1_     149175        1   38224721   38277278    121      19  250941      0.75963      0.22374
_SET1_     284716        1   42811468   42899900    232      22  260406     -0.29459      0.61585
_SET1_     114625        1   43247776   43320660    132      22  256096      -1.2881      0.90115
_SET1_     6487          1   44138204   44406837    513      24  261442       6.9901   1.3732e-12
_SET1_     10103         1   46605749   46661634     69      13  248124       1.4834     0.068985
_SET1_     388630        1   48216200   48498009    683      39  253160       1.2638      0.10314
_SET1_     9372          1   52572678   52822358    300      17  237306       2.8892    0.0019309
_SET1_     7804          1   53698036   53828821    347      40  227671       1.9497     0.025605
_SET1_     55706         1   54221133   54339225    189      19  254530     -0.84831      0.80187
_SET1_     606495        1   54628009   54700746    186      38  249969     -0.81325      0.79196
_SET1_     1600          1   57450453   58751211   3501     228  253214       3.4724   0.00025793
_SET1_     51361         1   60245458   60352050    211      24  256235      0.73231      0.23199
_SET1_     4919          1   64204690   64657181   1070      74  255895      0.38401      0.35049
_SET1_     8790          1   74628896   74684533     92       9  263389       3.2852   0.00050953
_SET1_     10026         1   77544666   77720132    437      31  256522    0.0017921      0.49929
_SET1_     54810         1   78475646   78614129    344      27  258785       1.7331     0.041543
_SET1_     343472        1   91167579   91217794     98      23  257900        4.391   5.6426e-06
_SET1_     127495        1  100604004  100678829    121      16  256181       0.6691      0.25172
_SET1_     148867        1  101326632  101562821    310      19  259456      0.86941      0.19231
_SET1_     2135          1  101327928  101396548     78      15  258880      0.99191      0.16062
_SET1_     118427        1  102258126  102497790    744      76  252405    0.0052963      0.49789
_SET1_     10451         1  108103782  108542545   1384      87  255657      -1.6654      0.95208
_SET1_     1952          1  109757641  109828378    160      29  256639     -0.14496      0.55763
_SET1_     6272          1  109842187  109975563    186      13  257687       6.3881    8.398e-11
