homolID	entrez	musName	mgid	geneName	orthoHumMus
3	34	Acadm	MGI:87867	ACADM	1:1
5	37	Acadvl	MGI:895149	ACADVL	1:1
6	38	Acat1	MGI:87870	ACAT1	1:1
7	90	Acvr1	MGI:87911	ACVR1	1:1
9	6442	Sgca	MGI:894698	SGCA	1:1
12	158	Adsl	MGI:103202	ADSL	1:1
13	175	Aga	MGI:104873	AGA	1:1
14	183	Agt	MGI:87963	AGT	1:1
16	210	Alad	MGI:96853	ALAD	1:1
17	212	Alas2	MGI:87990	ALAS2	1:1
20	270	Ampd1	MGI:88015	AMPD1	1:1
26	350	Apoh	MGI:88058	APOH	1:1
27	355	Fas	MGI:95484	FAS	1:1
28	367	Ar	MGI:88064	AR	1:1
29	383	Arg1	MGI:88070	ARG1	1:1
32	435	Asl	MGI:88084	ASL	1:1
33	443	Aspa	MGI:87914	ASPA	1:1
35	538	Atp7a	MGI:99400	ATP7A	1:1
39	594	Bckdhb	MGI:88137	BCKDHB	1:1
41	675	Brca2	MGI:109337	BRCA2	1:1
44	710	Serping1	MGI:894696	SERPING1	1:1
45	717	C2	MGI:88226	C2	1:1
47	729	C6	MGI:88233	C6	1:1
48	732	C8b	MGI:88236	C8B	1:1
52	825	Capn3	MGI:107437	CAPN3	1:1
55	917	Cd3g	MGI:88333	CD3G	1:1
56	959	Cd40lg	MGI:88337	CD40LG	1:1
59	1134	Chrna1	MGI:87885	CHRNA1	1:1
60	1145	Chrne	MGI:87894	CHRNE	1:1
61	1130	Lyst	MGI:107448	LYST	1:1
62	1161	Ercc8	MGI:1919241	ERCC8	1:1
63	1180	Clcn1	MGI:88417	CLCN1	1:1
65	1188	Clcnka	MGI:1329026	CLCNKB	1:1
69	1278	Col1a2	MGI:88468	COL1A2	1:1
73	1294	Col7a1	MGI:88462	COL7A1	1:1
74	1311	Comp	MGI:88469	COMP	1:1
75	1356	Cp	MGI:88476	CP	1:1
76	1371	Cpox	MGI:104841	CPOX	1:1
77	1376	Cpt2	MGI:109176	CPT2	1:1
78	1471	Cst3	MGI:102519	CST3	1:1
79	1476	Cstb	MGI:109514	CSTB	1:1
80	1535	Cyba	MGI:1316658	CYBA	1:1
83	1643	Ddb2	MGI:1355314	DDB2	1:1
84	1738	Dld	MGI:107450	DLD	1:1
85	1806	Dpyd	MGI:2139667	DPYD	1:1
88	1908	Edn3	MGI:95285	EDN3	1:1
89	1910	Ednrb	MGI:102720	EDNRB	1:1
91	2010	Emd	MGI:108117	EMD	1:1
92	2022	Eng	MGI:95392	ENG	1:1
93	2038	Epb42	MGI:95402	EPB42	1:1
94	2052	Ephx1	MGI:95405	EPHX1	1:1
95	2057	Epor	MGI:95408	EPOR	1:1
96	2071	Ercc3	MGI:95414	ERCC3	1:1
100	2108	Etfa	MGI:106092	ETFA	1:1
104	2153	F5	MGI:88382	F5	1:1
106	2158	F9	MGI:88384	F9	1:1
107	2169	Fabp2	MGI:95478	FABP2	1:1
108	2175	Fanca	MGI:1341823	FANCA	1:1
109	2176	Fancc	MGI:95480	FANCC	1:1
110	2184	Fah	MGI:95482	FAH	1:1
112	2206	Ms4a2	MGI:95495	MS4A2	1:1
113	2235	Fech	MGI:95513	FECH	1:1
115	2271	Fh1	MGI:95530	FH	1:1
117	2492	Fshr	MGI:95583	FSHR	1:1
119	2519	Fuca2	MGI:1914098	FUCA2	1:1
120	2523	Fut1	MGI:109375	FUT1	1:1
124	2581	Galc	MGI:95636	GALC	1:1
125	2584	Galk1	MGI:95730	GALK1	1:1
126	2592	Galt	MGI:95638	GALT	1:1
129	2632	Gbe1	MGI:1921435	GBE1	1:1
130	2639	Gcdh	MGI:104541	GCDH	1:1
131	2642	Gcgr	MGI:99572	GCGR	1:1
132	2643	Gch1	MGI:95675	GCH1	1:1
134	2690	Ghr	MGI:95708	GHR	1:1
136	2697	Gja1	MGI:95713	GJA1	1:1
137	2705	Gjb1	MGI:95719	GJB1	1:1
139	2737	Gli3	MGI:95729	GLI3	1:1
141	2731	Gldc	MGI:1341155	GLDC	1:1
142	8001	Glra3	MGI:95749	GLRA3	1:1
143	2811	Gp1ba	MGI:1333744	GP1BA	1:1
144	2815	Gp9	MGI:1860137	GP9	1:1
145	2821	Gpi1	MGI:95797	GPI	1:1
147	2934	Gsn	MGI:95851	GSN	1:1
148	2937	Gss	MGI:95852	GSS	1:1
149	2956	Msh6	MGI:1343961	MSH6	1:1
152	3030	Hadha	MGI:2135593	HADHA	1:1
153	3032	Hadhb	MGI:2136381	HADHB	1:1
156	3081	Hgd	MGI:96078	HGD	1:1
158	3145	Hmbs	MGI:96112	HMBS	1:1
159	3155	Hmgcl	MGI:96158	HMGCL	1:1
160	6910	Tbx5	MGI:102541	TBX5	1:1
163	3257	Hps1	MGI:2177763	HPS1	1:1
167	6448	Sgsh	MGI:1350341	SGSH	1:1
168	3383	Icam1	MGI:96392	ICAM1	1:1
169	3423	Ids	MGI:96417	IDS	1:1
170	3425	Idua	MGI:96418	IDUA	1:1
171	3426	Cfi	MGI:105937	CFI	1:1
172	3561	Il2rg	MGI:96551	IL2RG	1:1
173	3630	Ins2	MGI:96573	INS	1:1
175	3651	Pdx1	MGI:102851	PDX1	1:1
179	3691	Itgb4	MGI:96613	ITGB4	1:1
180	182	Jag1	MGI:1095416	JAG1	1:1
181	3718	Jak3	MGI:99928	JAK3	1:1
183	3736	Kcna1	MGI:96654	KCNA1	1:1
185	102723475	Kcne1	MGI:96673	KCNE1B	1:1
187	3815	Kit	MGI:96677	KIT	1:1
188	3859	Krt12	MGI:96687	KRT12	1:1
191	3914	Lamb3	MGI:99915	LAMB3	1:1
193	3952	Lep	MGI:104663	LEP	1:1
194	6445	Sgcg	MGI:1346524	SGCG	1:1
195	6443	Sgcb	MGI:1346523	SGCB	1:1
