# ALPHA = 0.05
# TOT_SETS = 1


# _SET1_ SET = Fernandez.2018.All.ARC.interactors
# _SET1_ NGENES = 777
# _SET1_ P = 0.000659453
_SET1_     GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_     55210         1    1412523    1480067    120      14  231193     0.096906       0.4614
_SET1_     2782          1    1706725    1857552    213      19  255259       1.3748     0.084601
_SET1_     57470         1    3686784    3748068    307      22  254955       2.2223     0.013132
_SET1_     8514          1    6017358    6171253    427      57  250916      0.73496      0.23118
_SET1_     55735         1    6684228    6796966    223      21  258700       2.4756    0.0066503
_SET1_     79180         1   15701391   15766839    191      30  237625      0.84047      0.20032
_SET1_     84966         1   18399240   18714977   1023     130  251549      0.19624      0.42221
_SET1_     832           1   19655267   19847066    647      37  254332      0.18941      0.42489
_SET1_     1650          1   20968260   21023037    167      31  244480      0.97756      0.16415
_SET1_     57576         1   20980475   21079317    295      45  250459      0.32356      0.37314
_SET1_     6135          1   23983269   24032915    120      18  223735       -1.044      0.85176
_SET1_     2810          1   27154633   27200947     60       7  260621        3.526   0.00021094
_SET1_     10163         1   27720734   27851678    214      15  240041     0.074511       0.4703
_SET1_     23673         1   28064694   28160963    142      11  214390    -0.037955      0.51514
_SET1_     2035          1   29178603   29456558    541      29  257162       4.9122   4.5032e-07
_SET1_     8565          1   33230840   33318633    131      13  259062       1.0053      0.15736
_SET1_     58512         1   35321037   35426083    123      30  241685      0.81165       0.2085
_SET1_     23154         1   35988311   36042380     63      11  233246     -0.83154      0.79717
_SET1_     27095         1   36592170   36656654    133      16  224364       1.3028      0.09632
_SET1_     6513          1   43381046   43459847    253      21  256935      0.15857        0.437
_SET1_     6202          1   45206213   45254427     97      14  251656       0.3958      0.34613
_SET1_     5052          1   45966707   46023562    120      10  262078       1.4822     0.069145
_SET1_     84251         1   66964066   67220768    871      30  261990       3.0432    0.0011704
_SET1_     57554         1   69998230   70599171   1518      43  259559      0.35154      0.36259
_SET1_     257194        1   71858625   72783533   1765      87  252963       8.6098   3.6607e-18
_SET1_     5825          1   94848933   94994219    154      20  256310      0.15156      0.43977
_SET1_     9890          1   99694848   99785140    247      33  254893        1.058      0.14503
_SET1_     118427        1  102258126  102497790    744      76  252405    0.0052963      0.49789
_SET1_     22911         1  109502835  109619860    323      29  254813      0.77791      0.21831
_SET1_     10768         1  110492387  110576364     83      18  238644       2.1785     0.014686
_SET1_     5906          1  112127405  112266807    432      31  254759       3.0867     0.001012
_SET1_     476           1  116879802  116958069    129      14  243459       1.3541     0.087851
_SET1_     26227         1  120219419  120296849    157      28  254924      -1.2124      0.88731
_SET1_     9900          1  149864870  149924434     80       6  253547       1.2944      0.09776
_SET1_     11311         1  150004350  150127505    176       6  253400       1.9831     0.023678
_SET1_     81609         1  151549454  151681559    198      23  251085       1.8759     0.030334
_SET1_     7170          1  154117780  154199611     99      16  259721       2.9385    0.0016489
_SET1_     9181          1  155906431  155988396    106      15  255654       0.6358      0.26245
